record,n_samples,fs_(Hz),duration_(s),channels,start_time,end_time,duration_minus_10min_s
0427_001_016_ECG,1489500,500,2979.0,['ECG'],16:10:21,16:59:59,2379.0
0427_002_017_ECG,1800000,500,3600.0,['ECG'],17:00:00,17:59:59,3000.0
0427_003_018_ECG,1800000,500,3600.0,['ECG'],18:00:00,18:59:59,3000.0
0427_004_019_ECG,1800000,500,3600.0,['ECG'],19:00:00,19:59:59,3000.0
0427_005_020_ECG,311000,500,622.0,['ECG'],20:00:00,20:10:21,22.0
0427_006_020_ECG,1488000,500,2976.0,['ECG'],20:10:24,20:59:59,2376.0
0427_007_021_ECG,1800000,500,3600.0,['ECG'],21:00:00,21:59:59,3000.0
0427_008_022_ECG,1800000,500,3600.0,['ECG'],22:00:00,22:59:59,3000.0
0427_009_023_ECG,1800000,500,3600.0,['ECG'],23:00:00,23:59:59,3000.0
0427_010_024_ECG,311001,500,622.002,['ECG'],24:00:00,24:10:22,22.001999999999953
0427_011_024_ECG,1488500,500,2977.0,['ECG'],24:10:23,24:59:59,2377.0
0427_012_025_ECG,1800000,500,3600.0,['ECG'],25:00:00,25:59:59,3000.0
0427_013_026_ECG,1800000,500,3600.0,['ECG'],26:00:00,26:59:59,3000.0
0427_014_027_ECG,1800000,500,3600.0,['ECG'],27:00:00,27:59:59,3000.0
0427_015_028_ECG,299501,500,599.002,['ECG'],28:00:00,28:09:59,0.0
0427_016_028_ECG,1490000,500,2980.0,['ECG'],28:10:20,28:59:59,2380.0
0427_017_029_ECG,1800000,500,3600.0,['ECG'],29:00:00,29:59:59,3000.0
0427_018_030_ECG,1800000,500,3600.0,['ECG'],30:00:00,30:59:59,3000.0
0427_019_031_ECG,1800000,500,3600.0,['ECG'],31:00:00,31:59:59,3000.0
0427_020_032_ECG,310000,500,620.0,['ECG'],32:00:00,32:10:19,20.0
0427_021_032_ECG,1485000,500,2970.0,['ECG'],32:10:30,32:59:59,2370.0
0427_022_033_ECG,1800000,500,3600.0,['ECG'],33:00:00,33:59:59,3000.0
0427_023_034_ECG,1800000,500,3600.0,['ECG'],34:00:00,34:59:59,3000.0
0427_024_035_ECG,1800000,500,3600.0,['ECG'],35:00:00,35:59:59,3000.0
0427_025_036_ECG,315500,500,631.0,['ECG'],36:00:00,36:10:30,31.0
0427_026_036_ECG,1483500,500,2967.0,['ECG'],36:10:33,36:59:59,2367.0
0427_027_037_ECG,1800000,500,3600.0,['ECG'],37:00:00,37:59:59,3000.0
0427_028_038_ECG,1800000,500,3600.0,['ECG'],38:00:00,38:59:59,3000.0
0427_029_039_ECG,1800000,500,3600.0,['ECG'],39:00:00,39:59:59,3000.0
0427_030_040_ECG,299001,500,598.002,['ECG'],40:00:00,40:09:58,0.0
0427_031_040_ECG,1500500,500,3001.0,['ECG'],40:09:59,40:59:59,2401.0
0427_032_041_ECG,1800000,500,3600.0,['ECG'],41:00:00,41:59:59,3000.0
0427_033_042_ECG,1800000,500,3600.0,['ECG'],42:00:00,42:59:59,3000.0
0427_034_043_ECG,1800000,500,3600.0,['ECG'],43:00:00,43:59:59,3000.0
0427_035_044_ECG,282001,500,564.002,['ECG'],44:00:00,44:09:24,0.0
0427_036_044_ECG,1462500,500,2925.0,['ECG'],44:11:15,44:59:59,2325.0
0427_037_045_ECG,1800000,500,3600.0,['ECG'],45:00:00,45:59:59,3000.0
0427_038_046_ECG,1800000,500,3600.0,['ECG'],46:00:00,46:59:59,3000.0
0427_039_047_ECG,1800000,500,3600.0,['ECG'],47:00:00,47:59:59,3000.0
0427_040_048_ECG,338000,500,676.0,['ECG'],48:00:00,48:11:15,76.0
0427_041_048_ECG,1461000,500,2922.0,['ECG'],48:11:18,48:59:59,2322.0
0427_042_049_ECG,1800000,500,3600.0,['ECG'],49:00:00,49:59:59,3000.0
0427_043_050_ECG,1800000,500,3600.0,['ECG'],50:00:00,50:59:59,3000.0
0427_044_051_ECG,1800000,500,3600.0,['ECG'],51:00:00,51:59:59,3000.0
0427_045_052_ECG,320001,500,640.002,['ECG'],52:00:00,52:10:40,40.00199999999995
0427_046_052_ECG,1480000,500,2960.0,['ECG'],52:10:40,52:59:59,2360.0
0427_047_053_ECG,1800000,500,3600.0,['ECG'],53:00:00,53:59:59,3000.0
0427_048_054_ECG,1800000,500,3600.0,['ECG'],54:00:00,54:59:59,3000.0
0427_049_055_ECG,1800000,500,3600.0,['ECG'],55:00:00,55:59:59,3000.0
0427_050_056_ECG,320000,500,640.0,['ECG'],56:00:00,56:10:39,40.0
0427_051_056_ECG,1479000,500,2958.0,['ECG'],56:10:42,56:59:59,2358.0
0427_052_057_ECG,1800000,500,3600.0,['ECG'],57:00:00,57:59:59,3000.0
0427_053_058_ECG,1800000,500,3600.0,['ECG'],58:00:00,58:59:59,3000.0
0427_054_059_ECG,1800000,500,3600.0,['ECG'],59:00:00,59:59:59,3000.0
0427_055_060_ECG,318001,500,636.002,['ECG'],60:00:00,60:10:36,36.00199999999995
0427_056_060_ECG,1488500,500,2977.0,['ECG'],60:10:23,60:59:59,2377.0
0427_057_061_ECG,1800000,500,3600.0,['ECG'],61:00:00,61:59:59,3000.0
0427_058_062_ECG,1800000,500,3600.0,['ECG'],62:00:00,62:59:59,3000.0
0427_059_063_ECG,1800000,500,3600.0,['ECG'],63:00:00,63:59:59,3000.0
0427_060_064_ECG,308001,500,616.002,['ECG'],64:00:00,64:10:16,16.001999999999953
0427_061_064_ECG,1486500,500,2973.0,['ECG'],64:10:27,64:59:59,2373.0
0427_062_065_ECG,1800000,500,3600.0,['ECG'],65:00:00,65:59:59,3000.0
0427_063_066_ECG,1800000,500,3600.0,['ECG'],66:00:00,66:59:59,3000.0
0427_064_067_ECG,1800000,500,3600.0,['ECG'],67:00:00,67:59:59,3000.0
0427_065_068_ECG,313500,500,627.0,['ECG'],68:00:00,68:10:26,27.0
0427_066_068_ECG,1485500,500,2971.0,['ECG'],68:10:29,68:59:59,2371.0
0427_067_069_ECG,1800000,500,3600.0,['ECG'],69:00:00,69:59:59,3000.0
0427_068_070_ECG,1800000,500,3600.0,['ECG'],70:00:00,70:59:59,3000.0
0427_069_071_ECG,1800000,500,3600.0,['ECG'],71:00:00,71:59:59,3000.0
0427_070_072_ECG,315000,500,630.0,['ECG'],72:00:00,72:10:29,30.0
0427_071_072_ECG,1456000,500,2912.0,['ECG'],72:11:28,72:59:59,2312.0
0427_072_073_ECG,1800000,500,3600.0,['ECG'],73:00:00,73:59:59,3000.0
0427_073_074_ECG,1800000,500,3600.0,['ECG'],74:00:00,74:59:59,3000.0
0427_074_075_ECG,1800000,500,3600.0,['ECG'],75:00:00,75:59:59,3000.0
0427_075_076_ECG,344000,500,688.0,['ECG'],76:00:00,76:11:27,88.0
0427_076_076_ECG,1437000,500,2874.0,['ECG'],76:12:06,76:59:59,2274.0
0427_077_077_ECG,1800000,500,3600.0,['ECG'],77:00:00,77:59:59,3000.0
0427_078_078_ECG,1800000,500,3600.0,['ECG'],78:00:00,78:59:59,3000.0
0427_079_079_ECG,1800000,500,3600.0,['ECG'],79:00:00,79:59:59,3000.0
