time_s,ecg_filt,is_R
300.0,13.159719004194697,False
300.002,20.22324677163538,False
300.004,26.856990995898233,False
300.006,32.73065460299696,False
300.008,37.703583652601395,False
300.01,41.72685539297295,False
300.012,44.71685118185107,False
300.014,46.66057900922843,False
300.016,47.60602400384653,False
300.018,47.5670780567374,False
300.02,46.54077347395723,False
300.022,44.566406271741975,False
300.024,41.67108970550922,False
300.026,37.81657430246089,False
300.028,33.09397692544716,False
300.03,27.773294393438977,False
300.032,22.127616855659607,False
300.034,16.466675123564926,False
300.036,11.145781119484152,False
300.038,6.441929684901364,False
300.04,2.4296560486529732,False
300.042,-1.0262208799041916,False
300.044,-4.097014783533864,False
300.046,-6.859110064311052,False
300.048,-9.310476787684806,False
300.05,-11.398585760414408,False
300.052,-13.000631469000874,False
300.054,-13.97515567946271,False
300.056,-14.252468431289769,False
300.058,-13.791147282022495,False
300.06,-12.615722000504325,False
300.062,-10.98190655748619,False
300.064,-9.268776391505499,False
300.066,-7.78035825061513,False
300.068,-6.66771556374385,False
300.07,-5.975730087736274,False
300.072,-5.68104179698054,False
300.074,-5.6150933854522584,False
300.076,-5.616422471788468,False
300.078,-5.648356819843086,False
300.08,-5.627722550121673,False
300.082,-5.38558151134086,False
300.084,-4.826226705113972,False
300.086,-4.0392736578978,False
300.088,-3.118490417044231,False
300.09,-1.9031672894651015,False
300.092,-0.13169423666485863,False
300.094,2.2605829325139837,False
300.096,5.026116496027325,False
300.098,7.7608040868430175,False
300.1,10.243285927115556,False
300.102,12.539018334422662,False
300.104,14.75651303505127,False
300.106,16.8724285596129,False
300.108,18.81556632533942,False
300.11,20.512158730530345,False
300.112,21.956083719561253,False
300.114,23.247033533472493,False
300.116,24.416017914109037,False
300.118,25.35554965652293,False
300.12,25.957696803192118,False
300.122,26.144571512635732,False
300.124,25.765333731318947,False
300.126,24.653339604913697,False
300.128,22.79079736455305,False
300.13,20.24189828864058,False
300.132,17.09088626244188,False
300.134,13.627625332121458,False
300.136,10.239785819727928,False
300.138,7.157307021234703,False
300.14,4.44994889165167,False
300.142,2.004959871571895,False
300.144,-0.4258868129679389,False
300.146,-3.002718632696449,False
300.148,-5.632522085410094,False
300.15,-8.037864755384279,False
300.152,-9.965248647742207,False
300.154,-11.326066012395234,False
300.156,-12.245457861434122,False
300.158,-12.922210818282853,False
300.16,-13.417932531815305,False
300.162,-13.711195283307516,False
300.164,-13.854035431061037,False
300.166,-13.929587295634162,False
300.168,-13.947806542106447,False
300.17,-13.852712210425864,False
300.172,-13.611615690707541,False
300.174,-13.171997014794435,False
300.176,-12.44181092987036,False
300.178,-11.42756983836565,False
300.18,-10.170857723109412,False
300.182,-8.657800052132318,False
300.184,-6.86733680271141,False
300.186,-4.77811858297789,False
300.188,-2.36900150871735,False
300.19,0.31525070377431197,False
300.192,3.1818273698849113,False
300.194,6.257066795367227,False
300.196,9.649484351865768,False
300.198,13.321880074740267,False
